customer_id,frequency,monetary,recency
00012a2c,1,89.8,288
000161a0,1,54.9,409
0001fd61,1,179.99,547
0002414f,1,149.9,378
000379cd,1,93.0,149
0004164d,1,59.99,504
000419c5,1,34.3,180
00046a56,1,120.9,254
00050bf6,1,69.99,346
000598ca,1,1107.0,18
0005aefb,1,134.9,70
00062b33,1,47.99,532
00066ccb,1,798.4,204
00072d03,1,89.9,362
0009a69b,1,159.9,488
000bf812,1,60.0,322
000e9434,1,89.9,496
000f17e2,1,122.9,292
000fd45d,1,53.99,136
0010068a,1,29.99,505
001028b7,1,29.9,139
00104a47,1,83.99,227
001051ab,1,49.97,91
00114026,1,49.9,454
001226b2,1,29.9,334
0012a5c1,1,349.9,177
00132804,1,149.9,233
0013cd8e,1,79.9,114
001450eb,1,75.28,184
00146ad3,1,199.9,233
00155f05,1,28.9,472
0015bc9f,1,122.99,79
0015f788,1,167.99,394
0017a0b4,1,34.9,179
0018c09f,1,42.99,59
0018f7fd,1,37.9,337
0019c9aa,1,99.99,176
001a5704,1,45.0,224
001b4e9b,1,75.0,144
001c7f05,1,13.65,139
001df1ee,1,29.99,24
001f150a,1,110.32,112
001f35d9,1,28.9,216
001f6f1a,1,23.9,568
00205ad9,1,899.9,109
002236c4,1,59.9,219
002408f3,1,195.9,231
002450e9,1,24.9,378
002554bd,1,229.0,16
00269557,1,99.9,9
002834b4,1,198.0,325
0028ff36,1,52.0,139
00290528,1,13.47,38
002937ab,1,9.4,278
0029cdf0,1,459.99,206
002a10e8,1,78.9,116
002b24cb,1,24.99,100
002c6253,1,311.25,283
002ce108,1,176.6,84
002d358e,1,29.5,210
002d5975,1,99.0,38
002ebb66,1,110.0,18
002ef7e5,1,174.99,71
002f067b,1,79.9,314
002f90a6,1,239.60000000000002,440
002fb8fc,1,59.9,276
002ff70a,1,62.9,24
00302a0b,1,129.0,156
0030aded,1,45.9,279
0030fbb9,1,15.0,293
00314f95,1,50.0,233
003177b3,1,110.32,52
0031abfb,1,1275.8,218
0031c106,1,69.9,546
00330644,1,37.5,303
00331de1,1,621.0,254
0033823e,1,61.8,457
0034f793,1,65.9,145
003536ce,1,43.99,317
0035b30e,1,59.9,143
00368757,1,50.0,220
00380c01,1,49.0,182
0039b3e4,1,19.49,230
003a75d2,1,119.6,314
003b595c,1,12.67,137
003bc8d0,1,569.0,175
003bdf7f,1,35.9,274
003c7cad,1,109.9,132
003cbe6a,1,13.65,209
003e4547,1,16.5,444
003eab52,1,62.9,513
003ec17a,1,9.99,227
003f7d92,1,72.9,196
0040a841,1,199.99,63
0040b009,1,30.97,580
00411811,1,349.0,479
0041d7b7,1,63.0,172
00426311,1,1062.0,259
0042d04e,1,18.95,506
0043b0af,1,99.99,287
00444053,1,159.96,1
00447b6b,1,279.9,65
00459c4e,1,64.99,114
0045ac1c,1,139.2,60
00474d25,1,159.6,694
004937d0,1,59.0,214
00498d14,1,89.0,229
0049e844,1,1200.0,366
004a2b3e,1,138.0,133
004d41e9,1,280.0,411
004df186,1,42.0,86
004ee20d,1,19.9,120
004f39eb,1,89.99,110
00502500,1,55.9,190
005092c2,1,29.9,388
0050b4dd,1,132.7,414
0050ee32,1,99.0,37
0051337a,1,219.99,576
005196c6,1,1089.0,224
00520034,1,149.9,418
0054556e,1,34.99,386
005460be,1,59.9,140
0054f2f8,1,42.99,516
00559639,1,63.6,369
0055e9b2,1,42.5,416
0056a258,1,47.7,348
00573ea7,1,29.9,207
0057f8b7,1,109.9,195
0058153a,1,79.99,12
00581d55,1,480.0,153
0058ebe2,1,479.96,566
005b65c9,1,24.79,474
005c36bf,1,260.0,169
005c611f,1,25.0,562
005e2fff,1,108.64,236
00618f41,1,117.0,210
0061937e,1,184.0,65
00620f73,1,124.9,89
00624707,1,233.0,69
0062859a,1,195.0,158
0063913c,1,228.0,19
0063bdf3,1,78.8,85
006431d7,1,441.28,136
00649659,1,58.99,188
00650b83,1,327.9,39
00652f7a,1,78.9,137
0065c96a,1,111.9,90
00660e81,1,148.0,151
0066d053,1,19.99,280
00674fe0,1,77.9,115
006866a6,1,18.95,30
0068a220,1,18.99,467
0068b31b,1,169.9,250
00694a1b,1,27.99,278
0069f43b,1,56.1,41
006a5d6b,1,64.99,456
006b5498,1,105.0,80
006ba170,1,97.9,289
006d300f,1,453.7,559
006d7cf1,1,269.9,71
006e0e7a,1,58.5,445
006e3500,1,69.9,463
006f0d8c,1,54.9,291
006fffc5,1,27.99,168
00701ade,1,89.9,368
0070e3e3,1,104.99,72
007182cd,1,13.99,53
0072357d,1,78.0,239
0074a15f,1,398.0,274
0075589b,1,49.0,330
007612fe,1,89.9,242
00765aeb,1,19.99,406
00773242,1,179.9,351
00785e4d,1,110.32,80
0078867a,1,66.99,70
00788705,1,29.99,235
0078c6b3,1,59.9,499
00791d8b,1,179.8,8
00793682,1,42.9,534
00796be0,1,269.90999999999997,293
007a4445,1,64.99,113
007a6cde,1,79.9,316
007b18ac,1,27.9,166
007b7f04,1,59.9,585
007c76c2,1,264.9,235
007d1c8a,1,20.8,231
007da0de,1,474.0,161
007dca61,1,49.9,179
007dd470,1,164.9,192
007e99fe,1,399.99,453
007ff1d4,1,79.99,517
0080e98d,1,59.9,307
00838729,1,39.9,158
008598a4,1,83.99,394
008657b8,1,59.9,325
0086b541,1,35.0,34
0088393a,1,49.9,411
00883956,1,13.9,514
008871f2,1,116.0,473
008943f2,1,97.2,32
0089c343,1,17.99,316
008d16b4,1,129.99,205
008d7d75,1,126.12,153
008def95,1,16.99,373
008e75e0,1,70.0,126
008f931f,1,400.0,258
00904334,1,89.99,348
0090571a,1,174.42,535
00914220,1,79.99,26
0092770b,1,160.0,251
0092ebfe,1,513.45,188
00931b6a,1,86.99,263
00931eab,1,49.99,462
0093eadf,1,119.0,64
00949af9,1,180.0,151
00951234,1,49.99,311
0095298d,1,279.99,350
00953228,1,110.32,6
009556b2,1,127.0,39
0095d34d,1,239.99,228
0096dd62,1,499.99,140
0097c5ab,1,219.96,86
00984003,1,99.99,524
0098c4d0,1,149.9,390
00993c1b,1,27.99,37
0099a73b,1,103.97,499
0099bfda,1,150.0,219
009aac1d,1,129.0,120
009ac0ae,1,1619.1000000000001,348
009bd844,1,119.99,197
009c825b,1,224.0,93
009c9924,1,29.9,483
009c9d2b,1,269.0,137
009e3066,1,59.9,352
00a02bdf,1,35.99,198
00a16acd,1,28.99,78
00a1edfe,1,99.99,308
00a2277d,1,27.93,165
00a39528,1,219.9,159
00a49178,1,65.0,423
00a572d0,1,145.6,149
00a5ee1a,1,64.49,213
00a6e275,1,321.6,555
00a7f6b5,1,17.45,162
00a7f9b6,1,47.2,87
00a860ae,1,59.9,358
00aa3aa0,1,19.9,16
00ab90b4,1,55.0,283
00abf30c,1,169.99,43
00acc750,1,99.9,114
00aee581,1,95.0,136
00af1761,1,122.99,274
00af928c,1,249.9,77
00b14856,1,95.9,343
00b16eaf,1,410.0,34
00b196cc,1,89.0,306
00b2b968,1,256.0,27
00b2fdba,1,65.9,38
00b36671,1,349.9,166
00b4054d,1,385.0,102
00b4a445,1,120.0,416
00b5072e,1,971.1000000000001,279
00b6731e,1,299.6,260
00b69418,1,89.9,405
00b78d0d,1,199.9,268
00b7c357,1,164.98,490
00b7c3aa,1,48.9,46
00b7dcb6,1,84.9,473
00b96a15,1,39.99,130
00b9f074,1,415.0,393
00ba24d5,1,150.0,106
00ba72da,1,25.0,18
00ba767a,1,45.9,308
00ba7e40,1,168.0,479
00bad631,1,89.9,15
00bae1a0,1,54.8,188
00bb2753,1,23.8,398
00bb2dd1,1,314.9,392
00bd2523,1,19.9,212
00bd2f03,1,48.98,49
00be672c,1,45.0,380
00bf0246,1,148.0,219
00bf225a,1,34.99,168
00bf7753,1,26.9,187
00c042af,1,239.99,345
00c120d7,1,140.0,269
00c1cef2,1,148.0,207
00c23397,1,58.67,240
00c2781c,1,1026.5,212
00c32f58,1,13.99,476
00c36dc4,1,404.90999999999997,342
00c38945,1,59.0,235
00c3e2f6,1,119.9,406
00c5a256,1,64.9,378
00c5b008,1,67.99,79
00c634fb,1,1299.65,9
00c6436d,1,160.0,159
00c7c6f2,1,99.0,544
00c7e84c,1,99.9,219
00c82b16,1,37.9,131
00c86cc6,1,59.9,172
00c9ed76,1,140.9,217
00ca4dec,1,49.99,115
00ca6e42,1,567.24,70
00cca873,1,7.29,499
00ccce54,1,99.9,232
00cd48b2,1,49.9,572
00cd55d7,1,120.0,166
00cebf30,1,79.0,399
00cef6d9,1,200.0,378
00cf7bb3,1,159.0,132
00d1bd04,1,139.0,174
00d4a861,1,146.39,573
00d4c7ce,1,53.9,188
00d59ed5,1,26.9,55
00d7e038,1,54.87,151
00d88dff,1,9.99,307
00d8b72b,1,359.9,294
00d9314f,1,53.9,173
00d97ddb,1,105.0,277
00da4576,1,151.9,170
00da48d8,1,399.8,122
00daf19c,1,132.0,80
00dcc202,1,64.9,554
